Exchange Date,Close,Open,Low,High,Volume
11/5/2009,555.54,545.59,542.31,556.57,57330000
11/4/2009,537.53,537.82,533.23,550.29,60281000
11/3/2009,539.65,557.05,539.46,557.05,64647000
11/2/2009,561.71,565.85,559.98,565.85,64747000
10/30/2009,587.12,590.85,583.75,594.73,67727000
10/29/2009,581.49,588.23,575.73,588.23,86783000
10/28/2009,599.86,602.97,596.34,604.82,70537000
10/27/2009,596.78,602.61,590.71,602.61,95583000
10/26/2009,609.34,615.58,608.26,623.71,86895000
10/23/2009,615.68,626.14,615.68,633.21,137061000
10/22/2009,624.1,619.53,619.05,625.02,98256000
10/21/2009,618.48,617.14,614.73,622.26,93970000
10/20/2009,616.58,615.27,613.62,617.08,91277000
10/19/2009,607.11,609.03,605.8,612.01,90072000
10/16/2009,609.54,616.44,609.54,619.52,123420000
10/15/2009,617.38,612.02,612.02,626.11,107209000
10/14/2009,605.65,590.84,590.84,605.65,85907000
10/13/2009,589.89,594.2,589.49,597.4,85582000
10/12/2009,594.3,588.68,587.11,595.69,76230000
10/9/2009,581.99,575.39,575.39,582.52,70093000
10/8/2009,571.84,570.46,566.04,571.84,52421000
10/7/2009,566.42,560.79,560.22,569.58,47369000
10/6/2009,552.03,554.08,550.49,557.08,44408000
10/5/2009,549,553.21,543.2,556.55,49972000
10/2/2009,549.73,552.97,544.32,556.16,77262000
10/1/2009,568.99,581.8,568.99,581.8,65332000
9/30/2009,580.9,583.16,578.32,586.26,75116000
9/29/2009,582.59,582.08,581.23,587.87,85020000
9/28/2009,582.02,585.83,582.02,590.91,75626000
9/25/2009,582.84,574.1,574.1,582.84,77639000
9/24/2009,574.78,576.83,572.16,583.64,72765000
9/23/2009,582.11,587.4,582.11,594.32,91823000
9/22/2009,582.85,578.64,577.87,585.51,75326000
9/21/2009,577.97,578.32,577.96,581.01,69185000
9/18/2009,571.01,561.66,561.66,571.01,65821000
9/17/2009,561.19,559.35,553.2,564.23,76595000
9/16/2009,556.98,560.46,556.98,562.49,68354000
9/15/2009,556.75,558.43,553.3,562.23,72347000
9/14/2009,556.59,551.7,551.7,559.71,65460000
9/11/2009,547.99,548.99,547.84,549.62,62999000
9/10/2009,540.19,535.52,535.39,541.9,52978000
9/9/2009,536.11,539.9,536.11,542,57251000
9/8/2009,537.81,529.96,529.76,538.59,49013000
9/7/2009,524.51,528.16,513.49,528.16,60731000
9/4/2009,528.49,543.01,528.49,544.31,78740000
9/3/2009,540.81,541,539.47,548.38,68054000
9/1/2009,547.69,545.05,542.41,549.59,73199000
8/31/2009,546.78,541.89,541.89,547.38,75092000
8/28/2009,536.53,533.61,530.66,536.53,58222000
8/27/2009,527.04,527.13,523.18,529.67,49976000
8/26/2009,525.95,529.97,525.95,532.74,55524000
8/25/2009,528.85,532.01,527.04,532.91,69580000
8/24/2009,528.2,522.15,522.15,528.84,58259000
8/21/2009,519.17,522.11,519.17,530.45,84118000
8/20/2009,513.9,513.84,510.4,515.24,62035000
8/19/2009,508.46,505,503.36,508.46,46799000
8/18/2009,499.69,496.79,495.46,501.63,48152000
8/17/2009,500.08,505.49,500.08,508.51,45756000
8/14/2009,506.99,503.7,502.65,509.27,57908000
8/13/2009,503.58,501.99,501.99,506.6,70353000
8/12/2009,497.16,498.76,496.8,501.57,64868000
8/11/2009,494.17,490.96,490.46,494.68,50876000
8/10/2009,491.2,485.92,483.68,492.33,48041000
8/7/2009,480.65,480.42,478.64,483.46,42234000
